id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q106301457,Ambassador of Cape Verde to Angola,Q1011,,,,,,,,
Q106314442,Ambassador of Cape Verde to Brasil,Q1011,,,,,,,,
Q106314439,Ambassador of Cape Verde to Guinea-Bissau,Q1011,,,,,,,,
Q106457919,Ambassador of Cape Verde to the People's Republic of China,Q1011,,,,,,,,
Q30590183,Cape Verdean Ambassador to the United States,Q1011,,,Q106498391,,,,,
Q63642377,Governor of Cape Verde,Q45,Q3023340,,Q13644393,,,,,
Q112034425,Health Minister of Cape Verde,Q1011,,,,,,,,
Q21295976,Member of the National Assembly of Cape Verde,Q1011,Q1011,,,,,,,
Q18204364,Minister of Foreign Affairs,Q1011,Q1011,,,,,,,Minister of Foreign Affairs (Cape Verde)
Q19058382,President of Cape Verde,Q1011,Q1011,,Q501713,1975-07-08,,,,
Q30100568,Prime Minister of Cape Verde,Q1011,Q1011,,Q510438,1975-07-08,,,,
