itemLabel,positionLabel
Filomena Gonçalves,Ministra da Saúde
Carlos Jorge Duarte Santos,Ministro do Turismo e Transportes
Janine Tatiana Santos Lélis,"Ministra de Estado, da Defesa Nacional"
Janine Tatiana Santos Lélis,Ministra da Coesão Territorial
Janine Tatiana Santos Lélis,Ministra da Presidência do Conselho de Ministros e dos Assuntos Parlamentares
Joana Gomes Rosa Amado,Ministra da Justiça
Edna Manuela Miranda de Oliveira,Ministra da Modernização do Estado e da Administração Pública
Eunice Andrade da Silva Spencer Lopes,"Ministra das Infraestruturas, Ordenamento do Território e Habitação"
Carlos Monteiro,Ministro Adjunto do Primeiro Ministro para a Juventude e Desporto
Paulo Augusto Costa Rocha,Ministro da Administração Interna
Gilberto Correia Carvalho Silva,Ministro da Agricultura e Ambiente
Abraão Aníbal Barbosa Vicente,Ministro da Cultura e das Indústrias Criativas
Abraão Aníbal Barbosa Vicente,Ministro do Mar
Amadeu Cruz Dr. Amadeu Cruz,Ministro da Educação
Fernando Elísio Freire,"Ministro do Estado, da Família, Inclusão e Desenvolvimento Social"
Jorge Santos,Ministro das Comunidades
Alexandre Dias Monteiro,"Ministro da Indústria, Comércio e Energia"
Rui Alberto de Figueiredo Soares,"Ministro dos Negócios Estrangeiros, Cooperação e Integração Regional"
José Ulisses Correia e Silva,Primeiro-Ministro
Olavo Avelino Garcia Correia,Vice-Primeiro-Ministro
Olavo Avelino Garcia Correia,Ministro das Finanças e do Fomento Empresarial
Olavo Avelino Garcia Correia,Ministro da Economia Digital
